cluster,n,m,modularity,connectivity,connectivity_normalized_log10(n),connectivity_normalized_log2(n),connectivity_normalized_sqrt(n)/5,conductance
13,504,1547,0.0017153574164858138,1.0,0.3700372633130797,0.11139231577064784,0.22271770159368698,0.13260442949257079
4,514,1616,0.001791593531922036,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.14156706507304118
12,514,1676,0.0018580614639814117,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.13070539419087138
56,513,1452,0.0016090983562451196,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.24825265337820346
26,513,1517,0.0016821776991392862,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.13140566847981677
121,490,1498,0.0016616810682110721,0.0,0.0,0.0,0.0,0.061697463200751645
3,511,1527,0.00169328274512542,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.12668001143837576
44,514,1553,0.0017217020080173902,0.0,0.0,0.0,0.0,0.16302883319859876
6,510,1509,0.0016737585043463449,0.0,0.0,0.0,0.0,0.07621671258034894
17,514,1465,0.0016247258655208779,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.12064825930372149
10,514,1608,0.0017818306099274535,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.21998544748969198
58,514,1689,0.0018722484602747772,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.14783047426841575
18,513,1563,0.001733209479498209,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.1157001414427157
41,514,1668,0.0018492770556450754,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.12463920230910522
467,502,1422,0.0015769040403080432,0.0,0.0,0.0,0.0,0.15053763440860216
5,513,1733,0.001921518326331864,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.09028871391076115
203,514,1503,0.0016638151779868376,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.34836332104920875
25,509,1639,0.0018174520458836216,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.09821182943603851
21,514,1522,0.0016880882283323933,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.08451127819548872
0,514,1587,0.0017590779971572658,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.18322182192485847
28,512,1536,0.0017032893748158266,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.12103004291845494
1,514,1603,0.0017768574843434273,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.1751993825572421
217,514,1327,0.0014706489275707743,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.2748633879781421
215,514,1622,0.0017966770532806325,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.26172052799271733
14,512,1588,0.0017608704561314522,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.11556669451406293
7,514,1557,0.0017267267352278565,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.09712960278341548
198,514,1668,0.001845182657168965,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.36710301650540694
59,514,1483,0.0016444940211903015,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.1390420899854862
2,514,1586,0.001758827494654427,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.09603875748076375
75,514,1564,0.0017347348119284185,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.06347305389221557
72,501,1440,0.0015967645275391236,0.0,0.0,0.0,0.0,0.15715539947322213
201,514,1563,0.001729935926131847,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.3495630461922597
42,513,1624,0.0018008974244835808,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.09349706949483673
70,498,1538,0.0017058947122548635,0.0,0.0,0.0,0.0,0.07153637186839722
43,512,1634,0.0018118907151161725,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.10145724498212813
32,513,1502,0.001665658782203698,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.12215078901227353
68,495,1365,0.0015138434425802213,1.0,0.37111187954204394,0.11171580748939341,0.22473328748774735,0.14847161572052403
15,513,1603,0.0017775586973110787,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.10521909014792073
63,510,1551,0.001719949094480365,1.0,0.3693348408206978,0.11118086553081183,0.22140372138502384,0.11371428571428571
33,514,1602,0.001775765300557801,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.1740139211136891
71,514,1784,0.001977323884278189,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.14333733493397358
199,514,1482,0.0016412311727714323,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.3170506912442396
39,512,1578,0.0017499926855552943,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.09388458225667529
241,499,1416,0.0015698949413532196,1.0,0.3706311099570058,0.111571081423294,0.22383074051792262,0.19293245939013964
46,513,1582,0.0017534101097352467,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.1953204476093591
126,514,1786,0.001980735116707619,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.027762656505171474
66,513,1671,0.0018526674670319154,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.11750726168471086
60,512,1752,0.0019428550600355506,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.05679676985195155
104,514,1696,0.001880458679473371,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.10359408033826638
34,514,1478,0.0016386840338348664,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.17012914093206064
8,503,1437,0.0015938639153617073,0.0,0.0,0.0,0.0,0.1032761310452418
222,513,1278,0.001417467074502961,0.0,0.0,0.0,0.0,0.16031537450722733
49,507,1582,0.001754645989253546,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.06528803545051699
35,513,1538,0.0017054731594015916,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.12439510389980074
19,513,1677,0.001859509343022488,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.09644396551724138
27,514,1568,0.001738571814592361,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.13441898978746894
24,512,1547,0.0017157481106327094,0.0,0.0,0.0,0.0,0.08596750369276218
235,514,1641,0.0018196477989638144,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.1000822593912805
48,512,1538,0.001706149574797468,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.03452605147520402
37,499,1560,0.001730301705060002,1.0,0.3706311099570058,0.111571081423294,0.22383074051792262,0.06418716256748651
40,486,1399,0.0015520598046821698,0.0,0.0,0.0,0.0,0.06138879570613888
9,511,1542,0.0017100348849728203,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.10841283607979185
218,514,1429,0.0015837584177554116,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.2417086760413903
202,514,1412,0.0015647833175003538,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.2576235541535226
213,514,1495,0.0016577448416024976,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.14203730272596843
31,513,1483,0.001644451347146702,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.144011544011544
47,484,1491,0.0016536481309466589,1.0,0.3724609298866735,0.11212191210878772,0.22727272727272727,0.10153660741187105
64,513,1513,0.0016778964985883426,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.11416861826697892
130,356,1203,0.001334880235997653,0.0,0.0,0.0,0.0,0.0763915547024952
20,511,1548,0.0017168238513250234,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.08994708994708994
214,511,1661,0.001842035721271865,0.0,0.0,0.0,0.0,0.07076923076923076
106,505,1557,0.0017267840200364416,1.0,0.3699194278849599,0.11135684377223187,0.2224970797449924,0.09000584453535944
69,512,1567,0.0017380792214990986,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.06026986506746627
216,514,1450,0.0016077052522107007,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.17095483133218983
460,514,1621,0.0017967169664803548,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.178616670889283
54,514,1601,0.0017746419471196201,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.17559217301750774
55,506,1563,0.001733332913397359,0.0,0.0,0.0,0.0,0.1012075905692927
312,414,1244,0.0013803453917844704,0.0,0.0,0.0,0.0,0.06711661042369704
224,514,1422,0.0015760414626392028,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.23997862105825762
220,502,1538,0.0017055099520232777,0.0,0.0,0.0,0.0,0.12013729977116705
61,514,1467,0.0016270709542860332,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.10330073349633252
219,514,1386,0.001536612187806327,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.20390580126364158
225,514,1684,0.0018665287044363496,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.16426799007444168
45,513,1546,0.0017145737505961784,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.0945827232796486
129,402,1296,0.0014380382744625566,0.0,0.0,0.0,0.0,0.0491562729273661
93,501,1392,0.0015441120401152543,1.0,0.37039263153446694,0.11149929226479119,0.22338352580438514,0.09345490068381634
223,514,1616,0.0017912498931646488,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.17340153452685422
155,513,1526,0.0016922529976032949,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.11766406475860075
205,514,1624,0.0017978063319881521,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.3205020920502092
498,513,1290,0.001430926217121109,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.13364674278038952
243,514,1566,0.0017368849757287918,0.0,0.0,0.0,0.0,0.072
29,514,1475,0.00163574214918754,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.1269606392423794
76,514,1480,0.001641534883507432,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.09313725490196079
429,513,1319,0.0014622168993775,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.23558388872790495
469,514,1518,0.0016824319268205763,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.21550387596899226
437,512,1533,0.0016988136643067185,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.2313863123589872
239,514,1569,0.0017399753018206298,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.1008595988538682
210,514,1468,0.0016276338882219726,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.16897820549108405
79,514,1572,0.0017432748415798084,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.10325156873930405
50,514,1542,0.0017096043328986609,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.15622435020519837
470,514,1258,0.0013940320695005155,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.3068870523415978
200,514,1439,0.0015954107602034185,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.18470254957507082
524,512,1562,0.0017321459904558797,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.11073156846000569
22,512,1541,0.001708938455088978,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.10718424101969873
30,514,1550,0.001718649554367285,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.13552704963747908
242,514,1401,0.0015538089813069255,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.13197026022304834
204,514,1613,0.0017881706265051227,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.15172232448067316
212,513,1426,0.0015810604523214195,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.18163558106169297
209,514,1657,0.0018366601742073549,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.16607951685958733
67,468,1457,0.00161617971822729,1.0,0.3744973515636205,0.11273493611736912,0.2311250817605121,0.07784810126582278
89,476,1277,0.0014167821604261729,1.0,0.37346780825467435,0.11242501269954118,0.22917462425705282,0.09045584045584046
206,513,1595,0.0017680024785643397,0.0,0.0,0.0,0.0,0.17613636363636365
52,513,1436,0.001592456986110544,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.14294240525216353
80,512,1496,0.00165895455872071,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.12997964524571096
229,513,1454,0.0016121658307262734,0.0,0.0,0.0,0.0,0.16700085935262102
11,514,1450,0.0016078231323084892,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.15771129828637817
23,481,1569,0.0017402585697752805,0.0,0.0,0.0,0.0,0.06495828367103695
443,451,1311,0.0014540969221945932,1.0,0.3767646892442395,0.11341747276953465,0.23544080467400555,0.1453715775749674
74,412,1250,0.001386918714028248,0.0,0.0,0.0,0.0,0.08223201174743025
108,514,1732,0.0019197214004784103,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.1532632608164263
91,514,1398,0.0015502888605897626,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.1578313253012048
237,464,1334,0.001479921206756171,0.0,0.0,0.0,0.0,0.08817498291182502
487,514,1374,0.0015228854817138718,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.24897512981688985
51,514,1667,0.0018479585910449465,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.14468958440225757
149,514,1618,0.0017930859105417753,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.2043275141381854
38,508,1570,0.001741431836714023,1.0,0.3695677633209165,0.11125098219004273,0.22183912735402847,0.05592303066746843
226,513,1420,0.001574450129643862,0.0,0.0,0.0,0.0,0.178716020821284
495,514,1436,0.0015918353654835453,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.21077219016213244
207,514,1682,0.0018639257001743998,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.19521531100478468
154,512,1540,0.0017076915550452364,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.12375533428165007
125,508,1562,0.0017324395038864104,0.0,0.0,0.0,0.0,0.07437037037037036
399,514,1726,0.0019137387506076966,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.09396325459317585
88,513,1469,0.0016288986125529263,1.0,0.36898770985836665,0.11107636869872647,0.22075539284417398,0.15135759676487578
299,514,1563,0.001732716569283074,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.16728822589238146
211,509,1356,0.0015036563640598952,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.17768344451182536
471,514,1594,0.001763776189502885,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.3634185303514377
472,512,1426,0.0015813825150576598,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.14405762304921968
462,514,1324,0.0014669852858930701,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.30370759926373914
228,514,1531,0.0016971272552714321,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.18671978751660026
293,514,1628,0.0018052606018105226,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.1005524861878453
464,514,1462,0.001620601831125748,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.20887445887445888
36,489,1387,0.0015385457098149545,1.0,0.37184274933964834,0.1119358212213972,0.22610781582306727,0.09817945383615084
94,495,1425,0.0015806684094030153,1.0,0.37111187954204394,0.11171580748939341,0.22473328748774735,0.09032875837855091
90,514,1621,0.0017976381971827238,0.0,0.0,0.0,0.0,0.08650324034939419
491,512,1526,0.0016926153428457422,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.07092846270928463
402,398,1197,0.0013283278228001004,0.0,0.0,0.0,0.0,0.054502369668246446
246,454,1357,0.0015053786671534316,1.0,0.3763564092658085,0.11329456824939788,0.234661627231966,0.09017767348307074
473,513,1444,0.0016007465101712482,0.0,0.0,0.0,0.0,0.20440771349862258
161,501,1548,0.0017168112343827551,1.0,0.37039263153446694,0.11149929226479119,0.22338352580438514,0.09154929577464789
83,514,1547,0.0017145364830636453,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.211116777154513
208,511,1472,0.0016321423746815718,0.0,0.0,0.0,0.0,0.1598173515981735
513,508,1477,0.0016376536350858385,1.0,0.3695677633209165,0.11125098219004273,0.22183912735402847,0.16198581560283687
77,511,1597,0.0017712281641286847,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.06798949518529326
227,514,1729,0.001916720299883073,1.0,0.36887259475909623,0.11104171560089222,0.22054054569561546,0.126105635582512
