cluster,n,m,modularity,connectivity,connectivity_normalized_log10(n),connectivity_normalized_log2(n),connectivity_normalized_sqrt(n)/5,conductance
35,507,5226,0.01208650718567614,0.0,0.0,0.0,0.0,0.3169073916737468
9,507,4531,0.01032565452417682,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.4867467149977345
58,507,6248,0.014356664851247748,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.32835259338887396
65,507,2783,0.006539929249553262,0.0,0.0,0.0,0.0,0.22316817864619679
0,507,6844,0.015600736674194203,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.3672922252010724
20,483,2500,0.005818173853511098,0.0,0.0,0.0,0.0,0.46178686759956944
48,481,1488,0.003501047061473517,0.0,0.0,0.0,0.0,0.3974488762907471
51,507,2558,0.006014373691099874,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.2367596598537968
4,507,8329,0.018986696904225577,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.30160992788864666
64,507,2970,0.006954724684461503,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.30117647058823527
63,507,2350,0.005521802932183399,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.28960096735187424
57,353,1320,0.003100543412477561,0.0,0.0,0.0,0.0,0.4755661501787843
19,507,4907,0.011258183816047245,0.0,0.0,0.0,0.0,0.41763588891526227
45,507,3195,0.007448033237676375,0.0,0.0,0.0,0.0,0.36575682382133995
3,507,4013,0.009299591525394231,0.0,0.0,0.0,0.0,0.3783595383781272
2,507,5245,0.011932162527703282,0.0,0.0,0.0,0.0,0.45863652784228726
68,497,1888,0.004447104548605776,0.0,0.0,0.0,0.0,0.2795268078610952
42,507,4268,0.009965709795868312,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.23347701149425287
60,507,3147,0.007303948346957343,0.0,0.0,0.0,0.0,0.43200072195650213
21,507,4964,0.01141783051350762,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.39222528313437405
18,507,7542,0.017109842343630173,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.37031934877896056
32,498,3677,0.008581334367601782,0.0,0.0,0.0,0.0,0.29868395956513444
22,507,4569,0.010573442374604966,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.35406800028274543
55,507,5571,0.012788121856154383,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.3749929881640209
11,507,2275,0.005281389662943045,0.0,0.0,0.0,0.0,0.5145631067961165
24,507,3722,0.008690994418853022,0.0,0.0,0.0,0.0,0.28374867699413064
33,503,2181,0.005129692882380109,0.0,0.0,0.0,0.0,0.28374384236453204
7,507,6405,0.014674938008771555,0.0,0.0,0.0,0.0,0.3470948012232416
38,507,4567,0.010600373005442523,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.3147786946736684
36,507,4304,0.009954366039876112,0.0,0.0,0.0,0.0,0.3798270893371758
66,507,5702,0.013304776936432476,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.13112380952380953
30,507,3035,0.007111406945250908,0.0,0.0,0.0,0.0,0.27789674042350704
40,507,4096,0.009499741445269053,0.0,0.0,0.0,0.0,0.36149649259547934
12,507,4022,0.009327094079337255,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.3687019306231361
44,507,6433,0.014855586963339577,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.2621860305080858
41,507,2507,0.005866509984815352,0.0,0.0,0.0,0.0,0.3724655819774718
13,507,3208,0.007478066700539023,0.0,0.0,0.0,0.0,0.36506679861454727
5,507,3502,0.008057757611494954,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.4868864468864469
49,507,5085,0.01184847261304721,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.2092372288313506
16,507,3772,0.008742457856115014,1.0,0.3696846793184503,0.11128617741227337,0.22205779584216379,0.3954643801586666
14,507,3166,0.007397204303454549,0.0,0.0,0.0,0.0,0.32767041834784455
