cluster,n,m,modularity,connectivity,connectivity_normalized_log10(n),connectivity_normalized_log2(n),connectivity_normalized_sqrt(n)/5,conductance
58,509,519,0.0027961158709943136,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.4579634464751958
59δ,508,866,0.00466330863219801,1.0,0.3695677633209165,0.11125098219004273,0.22183912735402847,0.31676528599605525
47,505,4094,0.020716997979387843,1.0,0.3699194278849599,0.11135684377223187,0.2224970797449924,0.43495963011524397
63,502,1624,0.008743991747329916,1.0,0.3702738636791765,0.11146353957782805,0.2231609213387259,0.06987399770904926
45,502,922,0.004970707652467539,1.0,0.3702738636791765,0.11146353957782805,0.2231609213387259,0.25040650406504067
15δ,501,1694,0.008848963462914703,1.0,0.37039263153446694,0.11149929226479119,0.22338352580438514,0.5183394938868354
38δ,490,776,0.004188395115911386,1.0,0.37172011639738944,0.11189890502732074,0.22587697572631282,0.2637571157495256
0δanopδanop,433,4303,0.009191796511156715,1.0,0.37929246759795143,0.11417840987639205,0.24028466566610635,0.8036773428232503
33δanopδ,23,46,0.0001270831144681643,1.0,0.7343611355735556,0.22106472945750374,1.0425720702853738,0.9774509803921568
17anopδ,11,14,6.328650332848487e-05,1.0,0.9602525677891274,0.2890648263178879,1.5075567228888183,0.9787717968157695
46δanopδδ,9,17,8.44285538532998e-05,1.0,1.0479516371446924,0.31546487678572877,1.6666666666666667,0.9674017257909875
44δδbnopδ,2,1,4.020555634597632e-06,1.0,3.321928094887362,1.0,3.5355339059327378,0.9954337899543378
46δdnop,2,1,4.954956792128282e-06,1.0,3.321928094887362,1.0,3.5355339059327378,0.9921875
Overall,36692,183831,0.0644040506564371,,,,,
