cluster,n,m,modularity,connectivity,connectivity_normalized_log10(n),connectivity_normalized_log2(n),connectivity_normalized_sqrt(n)/5,conductance
30,503,7330,0.009694165822674915,0.0,0.0,0.0,0.0,0.5627665602910913
33,503,6896,0.009295461712393507,0.0,0.0,0.0,0.0,0.47818849078733305
19,503,1250,0.0016929136771395262,0.0,0.0,0.0,0.0,0.7619501047419539
16,503,3133,0.0040156956515992655,0.0,0.0,0.0,0.0,0.7700128463938337
2,503,11328,0.014736162797544609,0.0,0.0,0.0,0.0,0.5213285161944603
11,503,13292,0.017263229142344155,1.0,0.3701554080932367,0.11142788089330624,0.2229389810338549,0.4870231364452077
10,503,5274,0.006662376296947324,0.0,0.0,0.0,0.0,0.7229314420803783
15,503,5238,0.0067294497531009785,0.0,0.0,0.0,0.0,0.6986971152463402
38,503,3251,0.004390901122085824,0.0,0.0,0.0,0.0,0.6315938580089524
37,503,3585,0.004869854541297547,1.0,0.3701554080932367,0.11142788089330624,0.2229389810338549,0.5763663220088626
0,503,31161,0.036103443337475075,0.0,0.0,0.0,0.0,0.49520492467195854
34,503,5303,0.006984761261643773,1.0,0.3701554080932367,0.11142788089330624,0.2229389810338549,0.6408276609434793
25,503,11487,0.013253196518909043,0.0,0.0,0.0,0.0,0.6965806886168232
7,501,791,0.0010613352244085604,0.0,0.0,0.0,0.0,0.8333859926276987
20,503,9494,0.01223140397876663,0.0,0.0,0.0,0.0,0.5877282497774496
24,466,866,0.001178454444569903,0.0,0.0,0.0,0.0,0.7850583271283197
32,503,2083,0.0028361912105663066,0.0,0.0,0.0,0.0,0.6629995146416438
21,503,8706,0.011054627987824521,0.0,0.0,0.0,0.0,0.6350374143243414
5,503,14855,0.018346211373057583,0.0,0.0,0.0,0.0,0.5773465729649757
18,503,3370,0.004517558213564464,0.0,0.0,0.0,0.0,0.6598708114654824
31,503,4519,0.005972822125100118,0.0,0.0,0.0,0.0,0.6585568568190404
6,503,18143,0.02183659978007539,0.0,0.0,0.0,0.0,0.5724620605146573
9,503,4795,0.006299033221323151,0.0,0.0,0.0,0.0,0.6656089821820844
27,503,37054,0.04732288614642677,1.0,0.3701554080932367,0.11142788089330624,0.2229389810338549,0.22436548223350253
3,501,1236,0.0016283388724491813,0.0,0.0,0.0,0.0,0.8262825017568517
35,503,4273,0.0058354027035159095,0.0,0.0,0.0,0.0,0.4874347747855815
29,501,2277,0.0030856188485666046,0.0,0.0,0.0,0.0,0.6757103183080538
36,502,2522,0.0034391302858495223,0.0,0.0,0.0,0.0,0.6180234759560772
22,500,1879,0.002546089808636925,0.0,0.0,0.0,0.0,0.7057626056999687
8,503,28542,0.03557416406130452,1.0,0.3701554080932367,0.11142788089330624,0.2229389810338549,0.392510136537295
26,503,9248,0.01213843210012488,1.0,0.3701554080932367,0.11142788089330624,0.2229389810338549,0.5386840923829002
17,503,6144,0.007970006505918458,0.0,0.0,0.0,0.0,0.6539761207479162
12,503,7817,0.010435139651842824,0.0,0.0,0.0,0.0,0.5057067880742356
13,503,1554,0.0020791359824454897,0.0,0.0,0.0,0.0,0.7741279069767442
23,503,9231,0.012166520926009056,1.0,0.3701554080932367,0.11142788089330624,0.2229389810338549,0.5235244018891785
1,503,27066,0.03271656554297245,1.0,0.3701554080932367,0.11142788089330624,0.2229389810338549,0.4706745154792404
14,315,587,0.0008058084929894648,0.0,0.0,0.0,0.0,0.7843497428361499
4,202,198,0.00027525707598707595,0.0,0.0,0.0,0.0,0.7685563997662186
28,503,2766,0.003757799051534981,1.0,0.3701554080932367,0.11142788089330624,0.2229389810338549,0.6270729405419981
Overall,19081,715612,0.40280214525098623,,,,,
