cluster,n,m,modularity,connectivity,connectivity_normalized_log10(n),connectivity_normalized_log2(n),connectivity_normalized_sqrt(n)/5,conductance
887,206,654,0.0007257903608154262,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.28874388254486133
778,206,769,0.000853289284372051,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.26516961299569997
886,206,622,0.0006905574553518593,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.18157894736842106
974,206,656,0.0007283088111843889,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.1573538856775851
661,206,609,0.0006751265211862448,2.0,0.8643538325768412,0.26019643047275204,0.6967330142916177,0.4803754266211604
967,206,635,0.0007051433196315426,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.0695970695970696
845,206,770,0.0008548482990358052,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.10046728971962617
963,206,578,0.0006418639775970483,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.0975800156128025
1294,206,695,0.0007716122188045547,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.13016270337922403
904,206,657,0.0007290363671911691,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.3138381201044386
740,206,721,0.0008003289080465959,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.18531073446327684
890,206,643,0.0007139603788605724,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.11310344827586206
934,206,609,0.0006762628262892936,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.0957683741648107
959,206,629,0.0006984304418401609,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.1122088920254058
864,206,589,0.0006540059735081074,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.1476121562952243
1250,206,560,0.0006218458162593458,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.13713405238828968
758,206,710,0.0007882906134581157,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.1069182389937107
830,206,602,0.0006684597162315011,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.12436363636363636
1188,206,707,0.0007846118499767706,2.0,0.8643538325768412,0.26019643047275204,0.6967330142916177,0.2592980618124673
143,206,593,0.0006583556677517366,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.2040268456375839
1242,206,596,0.000661609325503213,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.24317460317460318
1230,206,471,0.0005228542679223989,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.3242467718794835
897,206,596,0.0006618100404896417,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.11899482631189948
773,206,729,0.0008094794482519836,2.0,0.8643538325768412,0.26019643047275204,0.6967330142916177,0.036988110964332896
717,206,755,0.0008380225643727073,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.18510523475445223
1004,206,598,0.0006636306488933695,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.32429378531073444
804,206,701,0.0007783824870088842,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.059691482226693494
712,206,587,0.0006515646180292574,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.27441285537700866
761,206,680,0.0007550854630609291,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.058823529411764705
1245,206,593,0.0006583259058485651,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.22076215505913271
173,206,651,0.0007225462235133871,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.2593856655290102
961,206,676,0.0007506274372683553,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.07333790267306374
983,206,575,0.0006380702785886802,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.3499152063312606
803,206,691,0.0007673238269670598,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.033566433566433566
595,206,692,0.000768072824982433,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.22853957636566333
958,206,620,0.0006884385868794081,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.11743772241992882
1213,206,671,0.0007451449543616811,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.023289665211062592
262,206,576,0.0006393692693738044,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.27455919395465994
1056,206,623,0.0006917525706598417,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.12745098039215685
1229,206,585,0.0006490991461576493,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.36585365853658536
1296,206,613,0.0006806788045623955,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.11287988422575977
60,206,668,0.0007416878714205875,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.1164021164021164
124,206,549,0.0006095409688488352,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.21233859397417504
559,206,663,0.0007360553370660487,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.16656191074795726
4,206,597,0.0006627079965463064,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.24811083123425692
1123,206,682,0.0007572404713842402,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.10204081632653061
344,206,634,0.0007034878758333488,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.33403361344537813
1163,206,688,0.0007639011546825848,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.09888670595939751
1192,206,693,0.0007694776619085642,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.0796812749003984
1286,206,688,0.0007638888431283708,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.10649350649350649
939,206,631,0.0007007367858468454,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.042488619119878605
1260,206,630,0.0006995487908049364,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.10574875798438609
1295,206,660,0.0007328652231887419,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.081419624217119
807,206,629,0.0006985245791746613,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.03601532567049808
1086,206,609,0.0006759864927123356,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.2600243013365735
1153,206,654,0.0007261646671414687,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.1120162932790224
54,206,702,0.0007793304461136698,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.15370705244122965
1137,206,662,0.0007350897327691686,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.07735191637630662
277,206,662,0.0007350446502050185,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.10841750841750841
458,206,688,0.000763757923362079,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.17703349282296652
150,206,547,0.0006072708443594597,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.24447513812154695
416,206,624,0.0006926168982114974,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.2593471810089021
392,206,643,0.0007139567920176602,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.1155433287482806
585,206,639,0.0007090981514438001,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.31216361679224974
104,206,640,0.0007106387511152378,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.10863509749303621
1115,206,615,0.0006828712903918262,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.13196894848270996
413,206,638,0.0007082303343164086,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.2181372549019608
1127,206,661,0.0007339166745688736,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.12042581503659348
555,206,685,0.0007605726978551356,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.0992767915844839
296,206,676,0.000750538092272181,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.13054662379421222
637,206,642,0.0007128080892094702,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.1411371237458194
79,206,714,0.0007928247346047737,2.0,0.8643538325768412,0.26019643047275204,0.6967330142916177,0.04609218436873747
501,206,622,0.0006905686753522082,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.17506631299734748
372,206,673,0.0007471221545817067,2.0,0.8643538325768412,0.26019643047275204,0.6967330142916177,0.17826617826617827
201,206,591,0.0006561719285573204,1.0,0.4321769162884206,0.13009821523637602,0.34836650714580886,0.18313752591568763
