cluster,n,m,modularity,connectivity,connectivity_normalized_log10(n),connectivity_normalized_log2(n),connectivity_normalized_sqrt(n)/5,conductance
120,206,3592,0.008423595739280159,2.0,0.8643538325768412,0.26019643047275204,0.6967330142916177,0.18980489455283636
141,205,1067,0.00250562948254253,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.5336538461538461
79,205,1437,0.003391332340811333,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.28755577590480913
122,205,913,0.002157114031385494,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.37806539509536785
41,205,2467,0.005795636426955448,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.27812728602779807
37,205,1607,0.003750399400389911,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.5363531448355453
107,205,1534,0.0036087635386714274,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.39259552563848743
163,205,1227,0.0028965385722944815,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.32767123287671235
153,205,3043,0.007116507745530255,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.3217430067981723
94,205,2624,0.006064976158528838,3.0,1.2977160114398731,0.39065144529682394,1.0476454436543674,0.5212989145306941
68,205,1290,0.003039620195489487,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.3919396653311336
90,205,1618,0.0037801829993744374,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.5200949132433635
104,205,3189,0.007446885778451917,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.33583255232739767
123,205,797,0.0018849706238957906,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.3577759871071716
74,205,1133,0.002672812277008727,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.38540819094114454
13,205,1358,0.0031982951532028665,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.3934792317999107
118,205,1711,0.004038491863338478,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.21513761467889908
15,205,2000,0.004703550621829504,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.3171730966200068
60,205,2601,0.006094592928025048,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.3311045390253311
158,205,3824,0.00892019502239357,3.0,1.2977160114398731,0.39065144529682394,1.0476454436543674,0.29394387001477107
101,205,1184,0.002778996255001445,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.518796992481203
136,205,1678,0.003926584967888245,2.0,0.8651440076265821,0.2604342968645493,0.6984302957695783,0.4866931783420006
110,205,1986,0.004660747378995865,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.38024652831955064
77,205,828,0.0019596717786491457,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.28865979381443296
169,205,698,0.001653823215759739,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.2283029297954671
35,205,1731,0.004047753144665868,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.4902076277426005
92,205,3319,0.0076971823050644905,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.4259771705292286
72,205,1703,0.004006473742506954,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.35893092414831546
93,205,1978,0.004612895510056355,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.49560117302052786
157,205,661,0.0015636057881148263,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.40316027088036116
125,205,958,0.002265541769813706,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.3027656477438137
11,205,1395,0.0032723409355289294,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.48957189901207465
44,205,3518,0.008112714114469718,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.4670908126940847
134,205,1510,0.0035456416025422847,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.4470889783961919
96,205,1065,0.002506427427870833,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.48351115421920465
16,205,777,0.001835757138588957,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.42720235901216363
137,205,1429,0.0033302996452793635,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.5788387857353374
71,205,1531,0.0036008615563019025,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.4001958863858962
25,205,3026,0.0070167660642151235,2.0,0.8651440076265821,0.2604342968645493,0.6984302957695783,0.4533465811579803
156,205,1168,0.002744166687451858,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.5014938113529663
102,205,1270,0.0029767343740283924,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.5274418604651163
166,205,982,0.002322642981611297,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.28268809349890434
2,205,1213,0.0028527433540154238,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.4678657600350954
139,205,1117,0.0026343252389288505,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.40139335476956056
64,205,1857,0.004345430243773238,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.4600959441779328
154,205,1032,0.002431222679719026,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.46235998958061997
22,205,1495,0.003453280274768589,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.6426864244741873
73,205,1572,0.0037073857122202724,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.2899728997289973
69,205,3005,0.0070054405257145725,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.3841582129316528
28,205,2127,0.004848973929417276,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.6468244084682441
124,205,675,0.0015959866216325477,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.4260204081632653
50,205,1433,0.003370978230103922,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.41450459652706845
168,205,1027,0.0024304104643986207,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.21782178217821782
66,205,2384,0.005598081436906362,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.30424631548227055
128,205,934,0.002208711018894013,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.3139919206757253
8,205,1006,0.002364778809109662,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.5263653483992468
83,205,675,0.0015978048481091265,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.3446601941747573
3,205,1182,0.0027842434571293422,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.4288475477168398
12,205,1592,0.003730560234435564,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.47553944984351837
150,205,3016,0.0070588949874704505,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.30754218803811273
6,205,1634,0.0038370126198160695,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.4235314870347504
160,205,1206,0.0028334409435606476,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.49349013019739607
53,205,1246,0.0029354702777803035,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.40807600950118766
1,205,1473,0.0034576373771418867,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.4612289685442575
142,205,1657,0.0038741908973761352,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.5032973621103117
113,205,1298,0.003062745820647478,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.33161688980432547
144,205,1079,0.0025461576813243236,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.38780141843971633
63,205,1096,0.002574855255016367,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.5183476159085915
59,205,1442,0.003365036337211282,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.5618353084168946
133,205,2312,0.005411515141001689,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.3925380977404099
130,205,2210,0.005178182674020639,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.38440111420612816
26,205,1257,0.002941455797811293,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.5555948382534912
39,205,3038,0.007062868805561775,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.4209472981987992
4,205,913,0.0021525203951781244,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.4701102727800348
87,205,2702,0.006300290803765964,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.41305528402302594
98,205,2891,0.006684961438547305,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.4936509326560995
42,205,2793,0.006494388090472185,3.0,1.2977160114398731,0.39065144529682394,1.0476454436543674,0.442626222310916
61,205,3184,0.007342087053838461,2.0,0.8651440076265821,0.2604342968645493,0.6984302957695783,0.49347756920139996
58,205,2129,0.004950429806412051,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.5133714285714286
147,205,2019,0.004751560927057545,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.2893347412882788
55,205,2193,0.005088613442172631,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.528133405056482
89,205,847,0.001991184803012135,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.5637393767705382
109,205,1296,0.003055629318709585,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.36687835857352225
33,205,1959,0.004524226931914181,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.592299687825182
48,205,1652,0.0038450070896865747,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.5615129396151294
165,205,968,0.0022885038581242243,1.0,0.43257200381329103,0.13021714843227464,0.34921514788478913,0.3204633204633205
