cluster,n,m,modularity,connectivity,connectivity_normalized_log10(n),connectivity_normalized_log2(n),connectivity_normalized_sqrt(n)/5,conductance
37,509,822,0.004430852286620906,0.0,0.0,0.0,0.0,0.2986348122866894
55,508,1270,0.006826584296919894,0.0,0.0,0.0,0.0,0.23677884615384615
44,509,950,0.005099242451769162,0.0,0.0,0.0,0.0,0.37582128777923784
38,502,811,0.0043744088284608075,0.0,0.0,0.0,0.0,0.27718360071301246
7,509,1291,0.006825172530608191,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.5003869969040248
5,508,780,0.004137548447558167,0.0,0.0,0.0,0.0,0.586864406779661
73,442,424,0.0022891940031833664,0.0,0.0,0.0,0.0,0.44502617801047123
0,509,3180,0.015630217267475884,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.5764799893454086
2,454,827,0.004447993222926092,0.0,0.0,0.0,0.0,0.3682200152788388
41,496,564,0.0030553205630744363,1.0,0.37099120677462954,0.1116794813667419,0.22450662753346867,0.13958810068649885
19,509,1554,0.008058215090744399,0.0,0.0,0.0,0.0,0.5747708304829662
3,509,1696,0.00863169277845878,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.6215130551216247
26,509,1485,0.007749346408990583,0.0,0.0,0.0,0.0,0.5544554455445545
52,508,1038,0.00556578195584533,0.0,0.0,0.0,0.0,0.371480472297911
69,459,490,0.0026515052112611776,0.0,0.0,0.0,0.0,0.2872727272727273
16,509,1232,0.00654622160466097,0.0,0.0,0.0,0.0,0.46271260357610117
9,509,941,0.005048288456152482,0.0,0.0,0.0,0.0,0.3905440414507772
72,507,611,0.00328848308771934,0.0,0.0,0.0,0.0,0.4399633363886343
25,509,1077,0.00573932831360834,0.0,0.0,0.0,0.0,0.4636454183266932
46,509,1117,0.006020205803882831,0.0,0.0,0.0,0.0,0.1882267441860465
70,449,496,0.002685666507150626,0.0,0.0,0.0,0.0,0.2357473035439137
39,465,704,0.0038078203925654593,0.0,0.0,0.0,0.0,0.1794871794871795
30,508,1349,0.00709554011623309,0.0,0.0,0.0,0.0,0.5289804469273743
33,509,3671,0.018798493317066615,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.41642158810905333
22,509,1967,0.010213116351172495,0.0,0.0,0.0,0.0,0.5150992234685073
1,509,3183,0.016277401087830868,0.0,0.0,0.0,0.0,0.4624218881945617
43,509,1359,0.00730953860637037,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.18914081145584727
6,509,2449,0.012578831822858919,0.0,0.0,0.0,0.0,0.5113239549037214
13,509,2088,0.01070681227172548,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.5549872122762148
18,509,1699,0.00879452258146346,0.0,0.0,0.0,0.0,0.5631829283969662
29,509,757,0.0040301663516114795,0.0,0.0,0.0,0.0,0.5603948896631823
10,509,2681,0.013160266013218824,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.6134938369494702
28,509,4344,0.02142679457074859,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.496610464105684
4,509,2376,0.012480813749533005,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.3866804336602994
20,509,3185,0.015097765093319202,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.6329376512619569
21,503,1180,0.0061912326415597945,0.0,0.0,0.0,0.0,0.5746214852198991
36,473,763,0.00412122584834679,0.0,0.0,0.0,0.0,0.233550979407333
47,509,4478,0.022529802072803484,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.4304972656746789
53,481,1244,0.006666901036623026,0.0,0.0,0.0,0.0,0.3239130434782609
8,505,637,0.0034306878945433747,0.0,0.0,0.0,0.0,0.40963855421686746
50,509,1434,0.007654213906227929,0.0,0.0,0.0,0.0,0.35536075522589344
11,509,2621,0.012710201103526015,0.0,0.0,0.0,0.0,0.6375579063818019
24,509,1671,0.008742950048500116,0.0,0.0,0.0,0.0,0.5119742990654206
15,509,1890,0.009832483902803356,0.0,0.0,0.0,0.0,0.514637904468413
31,509,1547,0.008172785812627698,0.0,0.0,0.0,0.0,0.45965770171149145
49,508,783,0.004185428680010594,0.0,0.0,0.0,0.0,0.5045871559633027
17,509,2224,0.011719556938588699,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.3781630085278904
27,450,971,0.0052094571944272475,0.0,0.0,0.0,0.0,0.37994891443167306
51,509,847,0.004549328180672561,0.0,0.0,0.0,0.0,0.3958630527817404
12,509,1011,0.005333125070741209,0.0,0.0,0.0,0.0,0.5737774030354131
32,452,957,0.0051422289516114585,0.0,0.0,0.0,0.0,0.3474258438458916
61,509,2023,0.010821646229479735,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.18657016485725775
23,509,1472,0.007770780191706923,0.0,0.0,0.0,0.0,0.47939876215738286
59,509,866,0.004663120913056132,0.0,0.0,0.0,0.0,0.31811023622047246
35,508,629,0.003392295472077282,0.0,0.0,0.0,0.0,0.36815670517327975
60,509,1477,0.007952913707056381,0.0,0.0,0.0,0.0,0.11077664057796509
62,497,1691,0.009082773997736267,0.0,0.0,0.0,0.0,0.14552804446690248
14,507,587,0.003161082814825536,0.0,0.0,0.0,0.0,0.43611911623439004
34,454,578,0.003122051348314799,0.0,0.0,0.0,0.0,0.33179190751445087
54,508,1238,0.006678092840765101,0.0,0.0,0.0,0.0,0.10289855072463767
45,502,922,0.004970707652467539,1.0,0.3702738636791765,0.11146353957782805,0.2231609213387259,0.25040650406504067
42,509,841,0.004538164480767728,0.0,0.0,0.0,0.0,0.24472384373596767
48,509,2924,0.015312139029138035,0.0,0.0,0.0,0.0,0.34724857685009486
40,507,1026,0.005532579340688728,0.0,0.0,0.0,0.0,0.1996879875195008
71,450,371,0.00201378321242571,0.0,0.0,0.0,0.0,0.035110533159947985
63,502,1624,0.008743991747329916,1.0,0.3702738636791765,0.11146353957782805,0.2231609213387259,0.06987399770904926
56,491,765,0.004125560403546984,0.0,0.0,0.0,0.0,0.30517711171662126
58,509,519,0.0027961158709943136,1.0,0.36945115095696524,0.1112158783706281,0.22162110358896814,0.4579634464751958
64,450,623,0.0033763449895380464,0.0,0.0,0.0,0.0,0.046671767406273906
65,450,424,0.0023011464785784256,0.0,0.0,0.0,0.0,0.0
66,450,458,0.002484643482205305,0.0,0.0,0.0,0.0,0.042842215256008356
68,447,510,0.002766408419809011,0.0,0.0,0.0,0.0,0.011627906976744186
67,449,486,0.0026367432368668373,0.0,0.0,0.0,0.0,0.0
57,491,22,0.00011758924568469922,0.0,0.0,0.0,0.0,0.9171374764595104
Overall,36692,183831,0.5254314358314623,,,,,
