cluster,n,m,modularity,connectivity,connectivity_normalized_log10(n),connectivity_normalized_log2(n),connectivity_normalized_sqrt(n)/5,conductance
316,512,5098,0.0007440908262048695,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.6908335607507808
123,512,3474,0.00048661136362492175,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.8966532797858099
133,512,5695,0.0008321685386120811,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.6469858980319232
125,512,8201,0.0011986550787713925,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.568232073286301
277,512,2441,0.0003553583763649606,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.8143443869790082
248,512,13958,0.0019786484379445165,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.7624776652769506
224,512,11882,0.0016808975800800896,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.7865828468792097
1,512,4796,0.0006431276015265903,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.9106973279955312
159,512,5607,0.0008030072130515831,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.8235294117647058
152,512,7272,0.0010477821206688624,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.7719911580729616
181,512,4686,0.0006773157552793453,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.8014070181386675
113,512,4228,0.0006114223748431815,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.8086488198954538
214,512,9551,0.001326955472352447,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.8410180438111725
121,512,2433,0.00034862742812778464,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.8826027165914738
28,512,5213,0.0007409889060943102,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.8493221955660896
106,512,5307,0.0007627117893026242,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.8160325851460265
323,512,6096,0.0008905779523174564,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.6402690900507494
29,512,5631,0.0007970774269666723,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.8519521493361377
81,512,6887,0.0010060252632505878,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.6206450191412597
67,512,3941,0.000574676441349837,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.7430397078959379
31,512,3347,0.00045991554021842965,1.0,0.3691031216541514,0.1111111111111111,0.2209708691207961,0.9135867811269606
55,511,2503,0.0003610073014610319,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.862898145865856
239,511,3134,0.00045504297854441483,1.0,0.3692188315155379,0.11114594325018258,0.22118697760190442,0.8118565210865977
